                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1205,                  2.494,                 1.3205,                 0.2931,                0.47368,                0.23697,                0.14248,                0.75912,                 2.2645,                 1.0681,                      0,                      0,                      0
                      1,                 1.0965,                 2.4263,                 1.2791,                0.28636,                0.47368,                0.27036,                0.17037,                0.75124,                 2.2643,                 1.0649,             1.9934e-05,             1.9934e-05,             1.9934e-05
                      2,                 1.1382,                 2.3568,                 1.3249,                0.29199,                0.47368,                0.26671,                0.16796,                0.74986,                 2.2773,                 1.0641,             3.9736e-05,             3.9736e-05,             3.9736e-05
                      3,                 1.1863,                 2.5665,                 1.3225,                 0.2911,                0.47368,                0.26155,                0.16682,                0.74668,                 2.2883,                 1.0628,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      4,                 1.0588,                 2.4033,                  1.247,                0.27086,                0.47368,                0.25626,                0.16611,                0.74365,                 2.2968,                  1.062,             7.8944e-05,             7.8944e-05,             7.8944e-05
                      5,                 1.0937,                 2.5667,                 1.2829,                0.26875,                0.47368,                0.26112,                0.17064,                0.73739,                 2.3102,                 1.0598,              9.835e-05,              9.835e-05,              9.835e-05
                      6,                 1.1362,                 2.4656,                 1.2879,                0.25574,                0.47368,                0.26448,                0.17745,                0.73655,                 2.3221,                 1.0596,             0.00011762,             0.00011762,             0.00011762
                      7,                 1.0682,                 2.3883,                 1.2591,                0.25078,                0.47368,                0.26421,                 0.1788,                0.73803,                 2.3341,                 1.0599,             0.00013677,             0.00013677,             0.00013677
                      8,                 1.2043,                 2.4712,                 1.3662,                0.24623,                0.47368,                0.27811,                0.19135,                0.73577,                 2.3477,                 1.0573,             0.00015578,             0.00015578,             0.00015578
                      9,                 1.1562,                 2.4556,                 1.3128,                0.94885,                0.97691,                 0.9925,                0.90704,                0.41944,                  1.473,                0.89518,             0.00017465,             0.00017465,             0.00017465
                     10,                0.76811,                0.97059,                 1.0395,                0.98205,                      1,                  0.995,                0.87697,                0.49373,                 1.1723,                0.87589,              0.0001934,              0.0001934,              0.0001934
                     11,                0.62685,                0.70255,                0.98769,                0.94892,                      1,                  0.995,                0.88495,                0.46486,                0.86604,                0.83074,             0.00021201,             0.00021201,             0.00021201
                     12,                0.63347,                0.69898,                0.98112,                0.96478,                      1,                  0.995,                0.96298,                0.33998,                0.84083,                0.81037,              0.0002305,              0.0002305,              0.0002305
                     13,                0.53101,                0.55438,                0.93982,                0.98372,                      1,                  0.995,                0.94637,                0.34402,                0.81601,                0.81249,             0.00024885,             0.00024885,             0.00024885
                     14,                0.53961,                0.49291,                0.93005,                0.99286,                      1,                  0.995,                 0.9229,                0.38647,                0.77645,                0.81644,             0.00026706,             0.00026706,             0.00026706
                     15,                0.49671,                0.49783,                0.93054,                0.99594,                      1,                  0.995,                0.93616,                0.36239,                0.65639,                0.81206,             0.00028515,             0.00028515,             0.00028515
                     16,                0.50204,                0.47412,                0.92123,                 0.9968,                      1,                  0.995,                0.96209,                0.31169,                0.64152,                 0.8066,              0.0003031,              0.0003031,              0.0003031
                     17,                0.45253,                0.42476,                0.88464,                0.99703,                      1,                  0.995,                0.96004,                 0.2854,                0.53337,                0.80545,             0.00032093,             0.00032093,             0.00032093
                     18,                0.47741,                0.41105,                0.90879,                0.99706,                      1,                  0.995,                0.95965,                0.28796,                0.49901,                0.80678,             0.00033862,             0.00033862,             0.00033862
                     19,                0.45297,                0.43276,                0.88645,                0.99667,                      1,                  0.995,                0.96127,                0.31886,                0.62764,                0.81086,             0.00035617,             0.00035617,             0.00035617
                     20,                0.45252,                0.41991,                0.89996,                 0.9967,                      1,                  0.995,                0.97277,                0.30649,                0.61233,                0.80685,              0.0003736,              0.0003736,              0.0003736
                     21,                0.44835,                0.38713,                0.90026,                0.99592,                      1,                  0.995,                0.95769,                0.29841,                0.63765,                0.80392,             0.00039089,             0.00039089,             0.00039089
                     22,                 0.5119,                0.40627,                0.92575,                0.99329,                      1,                  0.995,                0.95568,                0.27487,                0.66115,                0.80149,             0.00040806,             0.00040806,             0.00040806
                     23,                0.46644,                0.38093,                0.89596,                0.99327,                      1,                  0.995,                0.95426,                0.27994,                0.54306,                0.80221,             0.00042509,             0.00042509,             0.00042509
                     24,                0.42346,                0.36027,                0.88171,                0.99432,                      1,                  0.995,                 0.9552,                0.29953,                 0.5196,                0.80596,             0.00044198,             0.00044198,             0.00044198
                     25,                0.43416,                0.36277,                0.89829,                 0.9953,                      1,                  0.995,                0.97332,                0.24931,                0.50875,                0.79852,             0.00045875,             0.00045875,             0.00045875
                     26,                0.40657,                0.33033,                0.89194,                0.99579,                      1,                  0.995,                 0.9767,                0.23457,                0.56402,                0.79476,             0.00047538,             0.00047538,             0.00047538
                     27,                0.42287,                0.34538,                 0.8882,                0.99612,                      1,                  0.995,                0.97945,                 0.2633,                 0.5727,                0.79879,             0.00049189,             0.00049189,             0.00049189
                     28,                0.41456,                0.34964,                0.88612,                0.99488,                      1,                  0.995,                0.94938,                0.27688,                0.48696,                0.80125,             0.00050826,             0.00050826,             0.00050826
